"Country","Year","Month","Imports","Exports","Year_Month","Net_Imports","Trade_Volume","YearMonth","Balance"
"Belgium","2022","NA",170871000,702245000,"2022 Jan",531374000,873116000,NA,"Positive"
"Belgium","2021","NA",129536000,457888000,"2021 Dec",328352000,587424000,NA,"Positive"
"Belgium","2021","NA",131031000,463968000,"2021 Nov",332937000,594999000,NA,"Positive"
"Belgium","2021","NA",250735000,823155000,"2021 Oct",572420000,1073890000,NA,"Positive"
"Belgium","2021","NA",155819000,450170000,"2021 Sep",294351000,605989000,NA,"Positive"
"Belgium","2021","NA",98508000,334717000,"2021 Aug",236209000,433225000,NA,"Positive"
"Belgium","2021","NA",183841000,760892000,"2021 Jul",577051000,944733000,NA,"Positive"
"Belgium","2021","NA",117345000,585846000,"2021 Jun",468501000,703191000,NA,"Positive"
"Belgium","2021","NA",151574000,773462000,"2021 May",621888000,925036000,NA,"Positive"
"Belgium","2021","NA",174581000,590664000,"2021 Apr",416083000,765245000,NA,"Positive"
"Belgium","2021","NA",128928000,1094463000,"2021 Mar",965535000,1223391000,NA,"Positive"
"Belgium","2021","NA",191622000,447254000,"2021 Feb",255632000,638876000,NA,"Positive"
"Belgium","2021","NA",119744000,470384000,"2021 Jan",350640000,590128000,NA,"Positive"
"Belgium","2020","NA",133445000,228581000,"2020 Dec",95136000,362026000,NA,"Positive"
"Belgium","2020","NA",209539000,411750000,"2020 Nov",202211000,621289000,NA,"Positive"
"Belgium","2020","NA",83657000,714179000,"2020 Oct",630522000,797836000,NA,"Positive"
"Belgium","2020","NA",80823000,443025000,"2020 Sep",362202000,523848000,NA,"Positive"
"Belgium","2020","NA",99286000,339644000,"2020 Aug",240358000,438930000,NA,"Positive"
"Belgium","2020","NA",102317000,254329000,"2020 Jul",152012000,356646000,NA,"Positive"
"Belgium","2020","NA",73457000,386915000,"2020 Jun",313458000,460372000,NA,"Positive"
"Belgium","2020","NA",77945000,925654000,"2020 May",847709000,1003599000,NA,"Positive"
"Belgium","2020","NA",126970000,1176482000,"2020 Apr",1049512000,1303452000,NA,"Positive"
"Belgium","2020","NA",136150000,550919000,"2020 Mar",414769000,687069000,NA,"Positive"
"Belgium","2020","NA",176921000,624401000,"2020 Feb",447480000,801322000,NA,"Positive"
"Belgium","2020","NA",124193000,618487000,"2020 Jan",494294000,742680000,NA,"Positive"
"Belgium","2019","NA",148564000,498029000,"2019 Dec",349465000,646593000,NA,"Positive"
"Belgium","2019","NA",112197000,553449000,"2019 Nov",441252000,665646000,NA,"Positive"
"Belgium","2019","NA",148895000,635001000,"2019 Oct",486106000,783896000,NA,"Positive"
"Belgium","2019","NA",109280000,463503000,"2019 Sep",354223000,572783000,NA,"Positive"
"Belgium","2019","NA",110542000,338818000,"2019 Aug",228276000,449360000,NA,"Positive"
"Belgium","2019","NA",140243000,389853000,"2019 Jul",249610000,530096000,NA,"Positive"
"Belgium","2019","NA",154637000,318325000,"2019 Jun",163688000,472962000,NA,"Positive"
"Belgium","2019","NA",220417000,1380735000,"2019 May",1160318000,1601152000,NA,"Positive"
"Belgium","2019","NA",134313000,277437000,"2019 Apr",143124000,411750000,NA,"Positive"
"Belgium","2019","NA",222413000,274500000,"2019 Mar",52087000,496913000,NA,"Positive"
"Belgium","2019","NA",104332000,470596000,"2019 Feb",366264000,574928000,NA,"Positive"
"Belgium","2019","NA",142735000,491576000,"2019 Jan",348841000,634311000,NA,"Positive"
"Belgium","2018","NA",208414000,218293000,"2018 Dec",9879000,426707000,NA,"Positive"
"Belgium","2018","NA",124412000,647959000,"2018 Nov",523547000,772371000,NA,"Positive"
"Belgium","2018","NA",156310000,1213141000,"2018 Oct",1056831000,1369451000,NA,"Positive"
"Belgium","2018","NA",206012000,747816000,"2018 Sep",541804000,953828000,NA,"Positive"
"Belgium","2018","NA",209928000,471877000,"2018 Aug",261949000,681805000,NA,"Positive"
"Belgium","2018","NA",134276000,299089000,"2018 Jul",164813000,433365000,NA,"Positive"
"Belgium","2018","NA",109902000,475517000,"2018 Jun",365615000,585419000,NA,"Positive"
"Belgium","2018","NA",146725000,593394000,"2018 May",446669000,740119000,NA,"Positive"
"Belgium","2018","NA",137948000,671336000,"2018 Apr",533388000,809284000,NA,"Positive"
"Belgium","2018","NA",101637000,481168000,"2018 Mar",379531000,582805000,NA,"Positive"
