"Year_Month","Exports","Imports","BalanceOfTrade","Trade_Volume","Balance"
"2018 Jan",42228786000,-37025691000,5203095000,79254477000,"Positive"
"2018 Feb",36699324000,-32862184000,3837140000,69561508000,"Positive"
"2018 Mar",43403042000,-37993570000,5409472000,81396612000,"Positive"
"2018 Apr",42127109000,-36950468000,5176641000,79077577000,"Positive"
"2018 May",45796591000,-40717901000,5078690000,86514492000,"Positive"
"2018 Jun",43297030000,-39296713000,4000317000,82593743000,"Positive"
"2018 Jul",45838445000,-43120402000,2718043000,88958847000,"Positive"
"2018 Aug",48011311000,-42115951000,5895360000,90127262000,"Positive"
"2018 Sep",43550371000,-39958476000,3591895000,83508847000,"Positive"
"2018 Oct",49286833000,-45417300000,3869533000,94704133000,"Positive"
"2018 Nov",46145911000,-42908663000,3237248000,89054574000,"Positive"
"2018 Dec",41498831000,-40956868000,541963000,82455699000,"Positive"
"2019 Jan",42584216000,-39317638000,3266578000,81901854000,"Positive"
"2019 Feb",37472720000,-33376903000,4095817000,70849623000,"Positive"
"2019 Mar",42197176000,-38726034000,3471142000,80923210000,"Positive"
"2019 Apr",41938232000,-39352060000,2586172000,81290292000,"Positive"
"2019 May",44399134000,-40765160000,3633974000,85164294000,"Positive"
"2019 Jun",39150461000,-36952008000,2198453000,76102469000,"Positive"
"2019 Jul",43021843000,-40653518000,2368325000,83675361000,"Positive"
"2019 Aug",43239818000,-39299771000,3940047000,82539589000,"Positive"
"2019 Sep",41713579000,-38134203000,3579376000,79847782000,"Positive"
"2019 Oct",44994181000,-40540765000,4453416000,85534946000,"Positive"
"2019 Nov",44430868000,-41013034000,3417834000,85443902000,"Positive"
"2019 Dec",43845580000,-40031019000,3814561000,83876599000,"Positive"
"2020 Jan",41986797000,-39563752000,2423045000,81550549000,"Positive"
"2020 Feb",40965059000,-38051621000,2913438000,79016680000,"Positive"
"2020 Mar",43515347000,-39414728000,4100619000,82930075000,"Positive"
"2020 Apr",38284629000,-35073602000,3211027000,73358231000,"Positive"
"2020 May",35211846000,-30764094000,4447752000,65975940000,"Positive"
"2020 Jun",39288325000,-34396791000,4891534000,73685116000,"Positive"
"2020 Jul",41426619000,-36919979000,4506640000,78346598000,"Positive"
"2020 Aug",42394128000,-35572751000,6821377000,77966879000,"Positive"
"2020 Sep",42226513000,-37910937000,4315576000,80137450000,"Positive"
"2020 Oct",42519482000,-37130614000,5388868000,79650096000,"Positive"
"2020 Nov",41773587000,-37116417000,4657170000,78890004000,"Positive"
"2020 Dec",44661939000,-38761791000,5900148000,83423730000,"Positive"
"2021 Jan",43440373000,-37890347000,5550026000,81330720000,"Positive"
"2021 Feb",40943735000,-36211243000,4732492000,77154978000,"Positive"
"2021 Mar",53163868000,-45573192000,7590676000,98737060000,"Positive"
"2021 Apr",48467930000,-43735734000,4732196000,92203664000,"Positive"
"2021 May",45499883000,-40543660000,4956223000,86043543000,"Positive"
"2021 Jun",47753925000,-43520420000,4233505000,91274345000,"Positive"
"2021 Jul",47833241000,-44715927000,3117314000,92549168000,"Positive"
"2021 Aug",50124219000,-43312522000,6811697000,93436741000,"Positive"
"2021 Sep",50072655000,-44995197000,5077458000,95067852000,"Positive"
"2021 Oct",51562150000,-46202967000,5359183000,97765117000,"Positive"
"2021 Nov",54218738000,-48920721000,5298017000,103139459000,"Positive"
"2021 Dec",56650669000,-52215080000,4435589000,108865749000,"Positive"
"2022 Jan",52599342000,-48281662000,4317680000,100881004000,"Positive"
