"Country","Year","Month","Imports","Exports","Year_Month","Net_Imports","Trade_Volume","YearMonth","Balance"
"Belgium","2022","01",170871000,702245000,"2022 Jan",531374000,873116000,2022-01-01,"Positive"
"Belgium","2021","12",129536000,457888000,"2021 Dec",328352000,587424000,2021-12-01,"Positive"
"Belgium","2021","11",131031000,463968000,"2021 Nov",332937000,594999000,2021-11-01,"Positive"
"Belgium","2021","10",250735000,823155000,"2021 Oct",572420000,1073890000,2021-10-01,"Positive"
"Belgium","2021","09",155819000,450170000,"2021 Sep",294351000,605989000,2021-09-01,"Positive"
"Belgium","2021","08",98508000,334717000,"2021 Aug",236209000,433225000,2021-08-01,"Positive"
"Belgium","2021","07",183841000,760892000,"2021 Jul",577051000,944733000,2021-07-01,"Positive"
"Belgium","2021","06",117345000,585846000,"2021 Jun",468501000,703191000,2021-06-01,"Positive"
"Belgium","2021","05",151574000,773462000,"2021 May",621888000,925036000,2021-05-01,"Positive"
"Belgium","2021","04",174581000,590664000,"2021 Apr",416083000,765245000,2021-04-01,"Positive"
"Belgium","2021","03",128928000,1094463000,"2021 Mar",965535000,1223391000,2021-03-01,"Positive"
"Belgium","2021","02",191622000,447254000,"2021 Feb",255632000,638876000,2021-02-01,"Positive"
"Belgium","2021","01",119744000,470384000,"2021 Jan",350640000,590128000,2021-01-01,"Positive"
"Belgium","2020","12",133445000,228581000,"2020 Dec",95136000,362026000,2020-12-01,"Positive"
"Belgium","2020","11",209539000,411750000,"2020 Nov",202211000,621289000,2020-11-01,"Positive"
"Belgium","2020","10",83657000,714179000,"2020 Oct",630522000,797836000,2020-10-01,"Positive"
"Belgium","2020","09",80823000,443025000,"2020 Sep",362202000,523848000,2020-09-01,"Positive"
"Belgium","2020","08",99286000,339644000,"2020 Aug",240358000,438930000,2020-08-01,"Positive"
"Belgium","2020","07",102317000,254329000,"2020 Jul",152012000,356646000,2020-07-01,"Positive"
"Belgium","2020","06",73457000,386915000,"2020 Jun",313458000,460372000,2020-06-01,"Positive"
"Belgium","2020","05",77945000,925654000,"2020 May",847709000,1003599000,2020-05-01,"Positive"
"Belgium","2020","04",126970000,1176482000,"2020 Apr",1049512000,1303452000,2020-04-01,"Positive"
"Belgium","2020","03",136150000,550919000,"2020 Mar",414769000,687069000,2020-03-01,"Positive"
"Belgium","2020","02",176921000,624401000,"2020 Feb",447480000,801322000,2020-02-01,"Positive"
"Belgium","2020","01",124193000,618487000,"2020 Jan",494294000,742680000,2020-01-01,"Positive"
"Belgium","2019","12",148564000,498029000,"2019 Dec",349465000,646593000,2019-12-01,"Positive"
"Belgium","2019","11",112197000,553449000,"2019 Nov",441252000,665646000,2019-11-01,"Positive"
