Year,Country,Export,Import
2018,Afghanistan,NA,NA
2018,Africa,8676900,4702100
2018,America,58412700,66579000
2018,Anguilla,NA,47
2018,Argentina,NA,NA
2018,Asia,54927900,332172400
2018,Australia,NA,NA
2018,Austria,27866000,1082945
2018,Bahamas,NA,56542
2018,Bahrain,NA,NA
2018,Bangladesh,NA,NA
2018,Belgium,6888054,1807612
2018,Bermuda,NA,213
2018,Brazil,NA,NA
2018,Brunei Darussalam,NA,NA
2018,Cambodia,NA,NA
2018,Canada,NA,NA
2018,Chile,NA,NA
2018,Cocos,NA,183
2018,Colombia,NA,NA
2018,Commonwealth Of Independent States,NA,8415548
2018,Cook Islands,NA,2112
2018,Cyprus,NA,NA
2018,Czech Republic,NA,NA
2018,Democratic People's Republic Of Korea,NA,NA
2018,Denmark,346454,739647
2018,Ecuador,NA,NA
2018,Estonia,NA,NA
2018,Europe,54927.9,87925300
2018,European Union,43748.6,54690400
2018,Fiji,NA,NA
2018,Finland,188427,402457
2018,France,5896126,15420010
2018,French Guiana,NA,34
2018,French Polynesia,NA,NA
2018,French Southern Territories,NA,82
2018,"Germany, Democratic Republic Of",NA,NA
2018,"Germany, Federal Republic Of",8657446,13657812
2018,Greece,1410518,722800
2018,Grenada,NA,23
2018,Guam,NA,NA
2018,Guatemala,NA,21996
2018,Honduras,NA,3674
2018,Hong Kong,NA,NA
2018,Hungary,NA,NA
2018,India,NA,NA
2018,Indonesia,NA,NA
2018,Iran,NA,NA
2018,Ireland,428590,1315974
2018,Israel,NA,NA
2018,Italy,1131894,5863638
2018,Jamaica,NA,1000
2018,Japan,NA,NA
2018,Jordan,NA,NA
2018,Kiribati,NA,88
2018,Kuwait,NA,NA
2018,Laos People's Democratic Republic,NA,NA
2018,Latvia,NA,NA
2018,Lebanon,NA,NA
2018,Liechtenstein,NA,31409
2018,Lithuania,NA,NA
2018,Luxembourg,137651,134037
2018,Macau,NA,NA
2018,Mainland China,NA,NA
2018,Malaysia,NA,NA
2018,"Maldives, Republic Of",NA,NA
2018,Malta,NA,NA
2018,Mexico,NA,NA
2018,Micronesia,NA,13
2018,Myanmar,NA,NA
2018,Nauru,NA,272
2018,Nepal,NA,NA
2018,Netherlands,12021028,5800992
2018,Netherlands Antilles,NA,68770
2018,New Caledonia,NA,NA
2018,New Zealand,NA,NA
2018,Niue,NA,46
2018,Norfolk Island,NA,635
2018,Norway,NA,943505
2018,Oceania,27866,8815100
2018,Oman,NA,NA
2018,Other Countries In America,NA,210933
2018,Other Countries In Oceania,NA,NA
2018,Pakistan,NA,NA
2018,Palau,NA,54
2018,Panama,NA,68592
2018,Papua New Guinea,NA,NA
2018,Paraguay,NA,NA
2018,Peru,NA,NA
2018,Philippines,NA,NA
2018,Poland,NA,NA
2018,Portugal,559765,547827
2018,Puerto Rico,NA,NA
2018,Qatar,NA,NA
2018,Republic Of Korea,NA,NA
2018,Saudi Arabia,NA,NA
2018,Slovak Republic,NA,NA
2018,Slovenia,NA,NA
2018,Solomon Islands,NA,NA
2018,South Sudan,NA,13
2018,Spain,486470,1680960
2018,Sri Lanka,NA,NA
2018,St Vincent & The Grenadines,NA,0
2018,Sweden,NA,NA
2018,Switzerland,NA,NA
2018,Syrian Arab Republic,NA,NA
2018,Taiwan,NA,NA
2018,Thailand,NA,NA
2018,Trinidad & Tobago,NA,57173
2018,Tuvalu,NA,25
2018,United Arab Emirates,NA,NA
2018,United Kingdom,5821024,10426403
2018,United States,NA,NA
2018,Uruguay,NA,NA
2018,Venezuela,NA,NA
2018,"Vietnam, Socialist Republic Of",NA,NA
2018,Wallis & Fatuna Islands,NA,49
2018,Yemen,NA,NA
2018,Yemen Democratic,NA,NA
2019,Afghanistan,NA,NA
2019,Africa,7894700,5478900
2019,America,60177700,69718800
2019,Anguilla,NA,56
2019,Argentina,NA,NA
2019,Asia,53182500,323048200
2019,Australia,NA,NA
2019,Austria,25159600,970637
2019,Bahamas,NA,14437
2019,Bahrain,NA,NA
2019,Bangladesh,NA,NA
2019,Belgium,6091822,1748568
2019,Bermuda,NA,774
2019,Brazil,NA,NA
2019,Brunei Darussalam,NA,NA
2019,Cambodia,NA,NA
2019,Canada,NA,NA
2019,Chile,NA,NA
2019,Cocos,NA,19
2019,Colombia,NA,NA
2019,Commonwealth Of Independent States,NA,7068513
2019,Cook Islands,NA,514
2019,Cyprus,NA,NA
2019,Czech Republic,NA,NA
2019,Democratic People's Republic Of Korea,NA,NA
2019,Denmark,200624,701270
2019,Ecuador,NA,NA
2019,Estonia,NA,NA
2019,Europe,53182.5,81483300
2019,European Union,41069,51931000
2019,Fiji,NA,NA
2019,Finland,124537,473521
2019,France,5423444,16593011
2019,French Guiana,NA,561
2019,French Polynesia,NA,NA
2019,French Southern Territories,NA,136
2019,"Germany, Democratic Republic Of",NA,NA
2019,"Germany, Federal Republic Of",7973277,13516465
2019,Greece,1226393,235698
2019,Grenada,NA,105
2019,Guam,NA,NA
2019,Guatemala,NA,33612
2019,Honduras,NA,3873
2019,Hong Kong,NA,NA
2019,Hungary,NA,NA
2019,India,NA,NA
2019,Indonesia,NA,NA
2019,Iran,NA,NA
2019,Ireland,490650,997080
2019,Israel,NA,NA
2019,Italy,1050615,5657158
2019,Jamaica,NA,1006
2019,Japan,NA,NA
2019,Jordan,NA,NA
2019,Kiribati,NA,25
2019,Kuwait,NA,NA
2019,Laos People's Democratic Republic,NA,NA
2019,Latvia,NA,NA
2019,Lebanon,NA,NA
2019,Liechtenstein,NA,31671
2019,Lithuania,NA,NA
2019,Luxembourg,174268,134943
2019,Macau,NA,NA
2019,Mainland China,NA,NA
2019,Malaysia,NA,NA
2019,"Maldives, Republic Of",NA,NA
2019,Malta,NA,NA
2019,Mexico,NA,NA
2019,Micronesia,NA,15
2019,Myanmar,NA,NA
2019,Nauru,NA,181
2019,Nepal,NA,NA
2019,Netherlands,11722818,4270120
2019,Netherlands Antilles,NA,2488
2019,New Caledonia,NA,NA
2019,New Zealand,NA,NA
2019,Niue,NA,14
2019,Norfolk Island,NA,772
2019,Norway,NA,1561329
2019,Oceania,25159.6,9983300
2019,Oman,NA,NA
2019,Other Countries In America,NA,290362
2019,Other Countries In Oceania,NA,NA
2019,Pakistan,NA,NA
2019,Palau,NA,159
2019,Panama,NA,59400
2019,Papua New Guinea,NA,NA
2019,Paraguay,NA,NA
2019,Peru,NA,NA
2019,Philippines,NA,NA
2019,Poland,NA,NA
2019,Portugal,712405,470585
2019,Puerto Rico,NA,NA
2019,Qatar,NA,NA
2019,Republic Of Korea,NA,NA
2019,Saudi Arabia,NA,NA
2019,Slovak Republic,NA,NA
2019,Slovenia,NA,NA
2019,Solomon Islands,NA,NA
2019,South Sudan,NA,1
2019,Spain,819429,1598279
2019,Sri Lanka,NA,NA
2019,St Vincent & The Grenadines,NA,35109
2019,Sweden,NA,NA
2019,Switzerland,NA,NA
2019,Syrian Arab Republic,NA,NA
2019,Taiwan,NA,NA
2019,Thailand,NA,NA
2019,Trinidad & Tobago,NA,77189
2019,Tuvalu,NA,19
2019,United Arab Emirates,NA,NA
2019,United Kingdom,5983817,12073397
2019,United States,NA,NA
2019,Uruguay,NA,NA
2019,Venezuela,NA,NA
2019,"Vietnam, Socialist Republic Of",NA,NA
2019,Wallis & Fatuna Islands,NA,1268
2019,Yemen,NA,NA
2019,Yemen Democratic,NA,NA
2020,Afghanistan,NA,NA
2020,Africa,6946800,5450300
2020,America,67834900,59017700
2020,Anguilla,NA,55
2020,Argentina,NA,NA
2020,Asia,54672500,312348600
2020,Australia,NA,NA
2020,Austria,20375700,877329
2020,Bahamas,NA,273016
2020,Bahrain,NA,NA
2020,Bangladesh,NA,NA
2020,Belgium,6674366,1424703
2020,Bermuda,NA,94
2020,Brazil,NA,NA
2020,Brunei Darussalam,NA,NA
2020,Cambodia,NA,NA
2020,Canada,NA,NA
2020,Chile,NA,NA
2020,Cocos,NA,211
2020,Colombia,NA,NA
2020,Commonwealth Of Independent States,NA,2252918
2020,Cook Islands,NA,165
2020,Cyprus,NA,NA
2020,Czech Republic,NA,NA
2020,Democratic People's Republic Of Korea,NA,NA
2020,Denmark,198931,874965
2020,Ecuador,NA,NA
2020,Estonia,NA,NA
2020,Europe,54672.5,68666400
2020,European Union,43535,46582500
2020,Fiji,NA,NA
2020,Finland,93904,438634
2020,France,5579043,14086183
2020,French Guiana,NA,5576
2020,French Polynesia,NA,NA
2020,French Southern Territories,NA,1240
2020,"Germany, Democratic Republic Of",NA,NA
2020,"Germany, Federal Republic Of",7663364,12182250
2020,Greece,1181549,140219
2020,Grenada,NA,41
2020,Guam,NA,NA
2020,Guatemala,NA,34495
2020,Honduras,NA,2864
2020,Hong Kong,NA,NA
2020,Hungary,NA,NA
2020,India,NA,NA
2020,Indonesia,NA,NA
2020,Iran,NA,NA
2020,Ireland,754797,1617811
2020,Israel,NA,NA
2020,Italy,1011263,5435863
2020,Jamaica,NA,644
2020,Japan,NA,NA
2020,Jordan,NA,NA
2020,Kiribati,NA,3
2020,Kuwait,NA,NA
2020,Laos People's Democratic Republic,NA,NA
2020,Latvia,NA,NA
2020,Lebanon,NA,NA
2020,Liechtenstein,NA,30592
2020,Lithuania,NA,NA
2020,Luxembourg,222763,155421
2020,Macau,NA,NA
2020,Mainland China,NA,NA
2020,Malaysia,NA,NA
2020,"Maldives, Republic Of",NA,NA
2020,Malta,NA,NA
2020,Mexico,NA,NA
2020,Micronesia,NA,42
2020,Myanmar,NA,NA
2020,Nauru,NA,268
2020,Nepal,NA,NA
2020,Netherlands,14118671,3380620
2020,Netherlands Antilles,NA,43605
2020,New Caledonia,NA,NA
2020,New Zealand,NA,NA
2020,Niue,NA,3
2020,Norfolk Island,NA,295
2020,Norway,NA,808741
2020,Oceania,20375.7,7984400
